,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,1,[,O,-LRB-
1,1,1,558,O,CD
2,2,1,],O,-RRB-
3,3,1,It,O,PRP
4,4,1,is,O,VBZ
5,5,1,for,O,IN
6,6,1,this,O,DT
7,7,1,reason,O,NN
8,8,1,that,O,IN
9,9,1,a,O,DT
10,10,1,bull,O,NN
11,11,1,to,O,IN
12,12,1,this,O,DT
13,13,1,day,O,NN
14,14,1,stands,O,VBZ
15,15,1,as,O,IN
16,16,1,the,O,DT
17,17,1,device,O,NN
18,18,1,on,O,IN
19,19,1,my,O,PRP$
20,20,1,standard,O,NN
21,21,1,overhead,O,RB
22,22,1,.,O,.
23,23,2,I,O,PRP
24,24,2,always,O,RB
25,25,2,sport,O,VBP
26,26,2,with,O,IN
27,27,2,kine,O,NN
28,28,2,.,O,.
29,29,3,Hence,O,RB
30,30,3,should,O,MD
31,31,3,kine,O,VB
32,32,3,be,O,VB
33,33,3,worshipped,O,VBN
34,34,3,by,O,IN
35,35,3,all,O,DT
36,36,3,.,O,.
37,37,4,Kine,O,NNP
38,38,4,are,O,VBP
39,39,4,possessed,O,VBN
40,40,4,of,O,IN
41,41,4,great,O,JJ
42,42,4,power,O,NN
43,43,4,.,O,.
44,44,5,They,O,PRP
45,45,5,are,O,VBP
46,46,5,givers,O,NNS
47,47,5,of,O,IN
48,48,5,boons,O,NNS
49,49,5,.,O,.
50,50,6,If,O,IN
51,51,6,worshipped,O,VBN
52,52,6,",",O,","
53,53,6,they,O,PRP
54,54,6,would,O,MD
55,55,6,grant,O,VB
56,56,6,boons,O,NNS
57,57,6,.,O,.
58,58,7,That,O,DT
59,59,7,person,O,NN
60,60,7,who,O,WP
61,61,7,gives,O,VBZ
62,62,7,food,O,NN
63,63,7,to,O,IN
64,64,7,kine,O,NN
65,65,7,even,O,RB
66,66,7,for,O,IN
67,67,7,a,O,DT
68,68,7,single,O,JJ
69,69,7,day,O,NN
70,70,7,receives,O,VBZ
71,71,7,from,O,IN
72,72,7,those,O,DT
73,73,7,beneficent,O,JJ
74,74,7,creatures,O,NNS
75,75,7,for,O,IN
76,76,7,that,O,DT
77,77,7,act,O,NN
78,78,7,a,O,DT
79,79,7,fourth,O,JJ
80,80,7,part,O,NN
81,81,7,of,O,IN
82,82,7,the,O,DT
83,83,7,merits,O,NNS
84,84,7,he,O,PRP
85,85,7,may,O,MD
86,86,7,win,O,VB
87,87,7,by,O,IN
88,88,7,all,O,PDT
89,89,7,his,O,PRP$
90,90,7,good,O,JJ
91,91,7,acts,O,NNS
92,92,7,in,O,IN
93,93,7,life,O,NN
94,94,7,.,O,.
95,95,7,',O,''
96,96,7,'',O,''
97,97,7,',O,''
98,98,7,'',O,''
99,99,8,SECTION,O,NN
100,100,8,CXXXIV,O,NNP
101,101,8,'',O,''
102,102,8,',O,''
103,103,8,'',O,''
104,104,8,Skanda,B-PER,NNP
105,105,8,said,O,VBD
106,106,8,",",O,","
107,107,8,',O,''
108,108,8,I,O,PRP
109,109,8,shall,O,MD
110,110,8,now,O,RB
111,111,8,declare,O,VB
112,112,8,a,O,DT
113,113,8,duty,O,NN
114,114,8,that,O,WDT
115,115,8,is,O,VBZ
116,116,8,approved,O,VBN
117,117,8,of,O,IN
118,118,8,by,O,IN
119,119,8,me,O,PRP
120,120,8,.,O,.
121,121,9,Do,O,VBP
122,122,9,ye,O,PRP
123,123,9,listen,O,VB
124,124,9,to,O,IN
125,125,9,it,O,PRP
126,126,9,with,O,IN
127,127,9,concentrated,O,JJ
128,128,9,attention,O,NN
129,129,9,.,O,.
130,130,10,That,O,DT
131,131,10,person,O,NN
132,132,10,who,O,WP
133,133,10,takes,O,VBZ
134,134,10,a,O,DT
135,135,10,little,O,JJ
136,136,10,earth,B-PLACE,NN
137,137,10,from,O,IN
138,138,10,the,O,DT
139,139,10,horns,O,NNS
140,140,10,of,O,IN
141,141,10,a,O,DT
142,142,10,bull,O,NN
143,143,10,of,O,IN
144,144,10,blue,O,JJ
145,145,10,complexion,O,NN
146,146,10,",",O,","
147,147,10,smears,O,VBZ
148,148,10,his,O,PRP$
149,149,10,body,O,NN
150,150,10,therewith,O,RB
151,151,10,for,O,IN
152,152,10,three,O,CD
153,153,10,days,O,NNS
154,154,10,",",O,","
155,155,10,and,O,CC
156,156,10,then,O,RB
157,157,10,performs,O,VBZ
158,158,10,his,O,PRP$
159,159,10,ablutions,O,NNS
160,160,10,",",O,","
161,161,10,acquires,O,VBZ
162,162,10,great,O,JJ
163,163,10,merits,O,NNS
164,164,10,.,O,.
165,165,11,Hear,O,VB
166,166,11,what,O,WP
167,167,11,those,O,DT
168,168,11,merits,O,NNS
169,169,11,are,O,VBP
170,170,11,.,O,.
171,171,12,By,O,IN
172,172,12,such,O,PDT
173,173,12,an,O,DT
174,174,12,act,O,NN
175,175,12,he,O,PRP
176,176,12,would,O,MD
177,177,12,wash,O,VB
178,178,12,away,O,RB
179,179,12,every,O,DT
180,180,12,stain,O,NN
181,181,12,and,O,CC
182,182,12,evil,O,NN
183,183,12,",",O,","
184,184,12,and,O,CC
185,185,12,attain,O,VB
186,186,12,to,O,IN
187,187,12,sovereign,O,JJ
188,188,12,sway,O,NN
189,189,12,hereafter,O,RB
190,190,12,.,O,.
191,191,13,As,O,IN
192,192,13,many,O,JJ
193,193,13,times,O,NNS
194,194,13,he,O,PRP
195,195,13,takes,O,VBZ
196,196,13,his,O,PRP$
197,197,13,birth,O,NN
198,198,13,in,O,IN
199,199,13,this,O,DT
200,200,13,world,O,NN
201,201,13,",",O,","
202,202,13,so,O,RB
203,203,13,many,O,JJ
204,204,13,times,O,NNS
205,205,13,does,O,VBZ
206,206,13,he,O,PRP
207,207,13,become,O,VB
208,208,13,celebrated,O,JJ
209,209,13,for,O,IN
210,210,13,his,O,PRP$
211,211,13,heroism,O,NN
212,212,13,.,O,.
213,213,14,Listen,O,VB
214,214,14,now,O,RB
215,215,14,to,O,IN
216,216,14,another,O,DT
217,217,14,mystery,O,NN
218,218,14,unknown,O,JJ
219,219,14,to,O,IN
220,220,14,all,O,DT
221,221,14,.,O,.
222,222,15,Taking,O,VBG
223,223,15,a,O,DT
224,224,15,vessel,O,NN
225,225,15,of,O,IN
226,226,15,copper,O,NN
227,227,15,and,O,CC
228,228,15,placing,O,VBG
229,229,15,therein,O,RB
230,230,15,some,O,DT
231,231,15,cooked,O,JJ
232,232,15,food,O,NN
233,233,15,after,O,IN
234,234,15,having,O,VBG
235,235,15,mixed,O,VBN
236,236,15,it,O,PRP
237,237,15,with,O,IN
238,238,15,honey,O,NN
239,239,15,",",O,","
240,240,15,one,O,PRP
241,241,15,should,O,MD
242,242,15,offer,O,VB
243,243,15,it,O,PRP
244,244,15,as,O,IN
245,245,15,Vali,O,NNP
