,sentence_no,word,POS_Tags
0,1,The,DT
1,1,Burdwan,NNP
2,1,translator,NN
3,1,misunderstands,VBZ
4,1,the,DT
5,1,words,NNS
6,1,abhravakasah,FW
7,1,.,.
8,2,It,PRP
9,2,is,VBZ
10,2,a,DT
11,2,well-known,JJ
12,2,word,NN
13,2,occurring,VBG
14,2,in,IN
15,2,almost,RB
16,2,every,DT
17,2,lexicon,NN
18,2,.,.
19,3,Wilson,NNP
20,3,explains,VBZ
21,3,it,PRP
22,3,correctly,RB
23,3,.,.
24,4,1008,CD
25,4,.,.
26,5,i.e.,FW
27,5,",",","
28,5,They,PRP
29,5,do,VBP
30,5,not,RB
31,5,use,VB
32,5,a,DT
33,5,regular,JJ
34,5,husking,NN
35,5,or,CC
36,5,cleaning,NN
37,5,apparatus,NN
38,5,for,IN
39,5,cleaning,VBG
40,5,the,DT
41,5,grain,NN
42,5,they,PRP
43,5,use,VBP
44,5,as,IN
45,5,food,NN
46,5,.,.
47,6,1009,CD
48,6,.,.
49,7,So,RB
50,7,that,DT
51,7,very,RB
52,7,small,JJ
53,7,portion,NN
54,7,of,IN
55,7,the,DT
56,7,grain,NN
57,7,comes,VBZ
58,7,out,RP
59,7,for,IN
60,7,drink,NN
61,7,or,CC
62,7,mixes,VBZ
63,7,with,IN
64,7,the,DT
65,7,water,NN
66,7,.,.
67,8,1010,CD
68,8,.,.
69,9,i.e.,FW
70,9,",",","
71,9,who,WP
72,9,had,VBD
73,9,no,DT
74,9,fixed,VBN
75,9,residence,NN
76,9,and,CC
77,9,who,WP
78,9,never,RB
79,9,sought,VBD
80,9,with,IN
81,9,any,DT
82,9,effort,NN
83,9,for,IN
84,9,the,DT
85,9,necessaries,NNS
86,9,of,IN
87,9,life,NN
88,9,.,.
89,10,The,DT
90,10,Burdwan,NNP
91,10,translator,NN
92,10,takes,VBZ
93,10,both,CC
94,10,yathavasah,NN
95,10,and,CC
96,10,akritacramah,NN
97,10,for,IN
98,10,two,CD
99,10,independent,JJ
100,10,names,NNS
101,10,of,IN
102,10,Rishis,NNP
103,10,instead,RB
104,10,of,IN
105,10,taking,VBG
106,10,them,PRP
107,10,as,IN
108,10,adjectives,NNS
109,10,of,IN
110,10,Sudivatandi,NNP
111,10,.,.
112,11,1011,CD
113,11,.,.
114,12,i.e.,FW
115,12,",",","
116,12,whose,WP$
117,12,wishes,NNS
118,12,were,VBD
119,12,immediately,RB
120,12,crowned,VBN
121,12,with,IN
122,12,success,NN
123,12,",",","
124,12,in,IN
125,12,respect,NN
126,12,of,IN
127,12,both,DT
128,12,blessings,NNS
129,12,and,CC
130,12,curses,NNS
131,12,",",","
132,12,etc,FW
133,12,.,.
134,13,1012,CD
135,13,.,.
136,14,Niranandah,NNP
137,14,is,VBZ
138,14,explained,VBN
139,14,as,IN
140,14,krichcchrachandrayanadiparatwat,FW
141,14,.,.
142,15,1013,CD
143,15,.,.
144,16,Anakstrah,NNP
145,16,is,VBZ
