,sentence_no,word,POS_Tags
0,1,Hence,RB
1,1,I,PRP
2,1,shall,MD
3,1,shoot,VB
4,1,whetted,JJ
5,1,shafts,NNS
6,1,at,IN
7,1,the,DT
8,1,tongue,NN
9,1,.,.
10,1,',''
11,2,``,``
12,2,',''
13,2,'',''
14,2,',''
15,2,'',''
16,2,The,DT
17,2,tongue,NN
18,2,said,VBD
19,2,",",","
20,2,',''
21,2,These,DT
22,2,arrows,NNS
23,2,",",","
24,2,O,UH
25,2,Alarka,NNP
26,2,",",","
27,2,will,MD
28,2,not,RB
29,2,cross,VB
30,2,through,IN
31,2,me,PRP
32,2,.,.
33,3,They,PRP
34,3,will,MD
35,3,only,RB
36,3,pierce,VB
37,3,thy,PRP$
38,3,own,JJ
39,3,vital,JJ
40,3,parts,NNS
41,3,and,CC
42,3,thy,PRP$
43,3,vital,JJ
44,3,parts,NNS
45,3,being,VBG
46,3,pierced,VBN
47,3,",",","
48,3,thou,DT
49,3,shalt,NN
50,3,die,VB
51,3,.,.
52,4,Do,VB
53,4,thou,PRP
54,4,look,VB
55,4,for,IN
56,4,other,JJ
57,4,arrows,NNS
58,4,with,IN
59,4,which,WDT
60,4,to,TO
61,4,destroy,VB
62,4,me,PRP
63,4,.,.
64,4,',''
65,5,Hearing,VBG
66,5,these,DT
67,5,words,NNS
68,5,and,CC
69,5,reflecting,VBG
70,5,upon,IN
71,5,them,PRP
72,5,",",","
73,5,he,PRP
74,5,said,VBD
75,5,as,IN
76,5,follows,VBZ
77,5,.,.
78,6,``,``
79,6,',''
80,6,'',''
81,6,',''
82,6,'',''
83,6,Alarka,NNP
84,6,said,VBD
85,6,",",","
86,6,',''
87,6,The,DT
88,6,skin,NN
89,6,",",","
90,6,touching,VBG
91,6,diverse,JJ
92,6,objects,NNS
93,6,of,IN
94,6,touch,NN
95,6,",",","
96,6,hankers,VBZ
97,6,after,IN
98,6,them,PRP
99,6,only,RB
100,6,.,.
101,7,Hence,RB
102,7,",",","
103,7,I,PRP
104,7,shall,MD
105,7,tear,VB
106,7,off,RP
107,7,the,DT
108,7,skin,NN
109,7,with,IN
110,7,diverse,JJ
111,7,arrows,NNS
112,7,equipt,JJ
113,7,with,IN
114,7,the,DT
115,7,feathers,NNS
116,7,of,IN
117,7,the,DT
118,7,Kanka,NNP
119,7,.,.
120,7,',''
121,8,``,``
122,8,',''
123,8,'',''
124,8,',''
125,8,'',''
126,8,The,DT
127,8,skin,NN
128,8,said,VBD
129,8,",",","
130,8,',''
131,8,These,DT
132,8,arrows,NNS
133,8,will,MD
134,8,not,RB
135,8,",",","
136,8,O,UH
137,8,Alarka,NNP
138,8,",",","
139,8,cross,VB
140,8,through,IN
141,8,me,PRP
142,8,.,.
143,9,They,PRP
144,9,will,MD
145,9,pierce,VB
146,9,thy,PRP$
147,9,own,JJ
148,9,vital,JJ
149,9,parts,NNS
150,9,only,RB
151,9,",",","
152,9,and,CC
153,9,thy,PRP$
154,9,vital,JJ
155,9,parts,NNS
156,9,being,VBG
157,9,pierced,VBN
158,9,",",","
159,9,thou,DT
160,9,shalt,NN
161,9,die,VBP
162,9,.,.
163,10,Do,VB
164,10,thou,PRP
165,10,look,VB
166,10,for,IN
167,10,other,JJ
168,10,arrows,NNS
169,10,with,IN
170,10,which,WDT
171,10,to,TO
172,10,destroy,VB
173,10,me,PRP
174,10,.,.
175,10,',''
176,11,Hearing,VBG
177,11,these,DT
178,11,words,NNS
179,11,and,CC
180,11,reflecting,VBG
181,11,on,IN
182,11,them,PRP
183,11,",",","
184,11,he,PRP
185,11,said,VBD
186,11,as,IN
187,11,follows,VBZ
188,11,.,.
189,12,``,``
190,12,',''
191,12,'',''
192,12,',''
193,12,'',''
194,12,Alarka,NNP
195,12,said,VBD
196,12,",",","
197,12,',''
198,12,Hearing,VBG
199,12,diverse,JJ
200,12,sounds,NNS
201,12,",",","
202,12,(,:
203,12,the,DT
204,12,ear,NN
205,12,),","
206,12,hankers,VBZ
207,12,after,IN
208,12,them,PRP
209,12,only,RB
210,12,.,.
211,13,Hence,RB
212,13,",",","
213,13,I,PRP
214,13,shall,MD
215,13,shoot,VB
216,13,whetted,VBN
217,13,shafts,NNS
218,13,at,IN
219,13,the,DT
220,13,ear,NN
221,13,.,.
222,13,',''
