,sentence_no,word,POS_Tags
0,1,Without,IN
1,1,doubt,NN
2,1,",",","
3,1,the,DT
4,1,measure,NN
5,1,of,IN
6,1,sorrow,NN
7,1,is,VBZ
8,1,much,RB
9,1,greater,JJR
10,1,than,IN
11,1,that,DT
12,1,of,IN
13,1,happiness,NN
14,1,in,IN
15,1,life,NN
16,1,.,.
17,2,To,IN
18,2,one,NN
19,2,who,WP
20,2,is,VBZ
21,2,content,JJ
22,2,with,IN
23,2,the,DT
24,2,objects,NNS
25,2,of,IN
26,2,the,DT
27,2,senses,NNS
28,2,",",","
29,2,death,NN
30,2,that,WDT
31,2,is,VBZ
32,2,disagreeable,JJ
33,2,comes,VBZ
34,2,in,IN
35,2,consequence,NN
36,2,of,IN
37,2,his,PRP$
38,2,stupefaction,NN
39,2,.,.
40,3,That,DT
41,3,man,NN
42,3,who,WP
43,3,avoids,VBZ
44,3,both,CC
45,3,sorrow,NN
46,3,and,CC
47,3,happiness,NN
48,3,succeeds,VBZ
49,3,verily,RB
50,3,in,IN
51,3,attaining,VBG
52,3,to,IN
53,3,Brahma,NNP
54,3,.,.
55,4,Such,JJ
56,4,persons,NNS
57,4,",",","
58,4,who,WP
59,4,are,VBP
60,4,possessed,VBN
61,4,of,IN
62,4,wisdom,NN
63,4,",",","
64,4,have,VBP
65,4,never,RB
66,4,to,TO
67,4,grieve,VB
68,4,.,.
69,5,[,-LRB-
70,5,691,CD
71,5,],-RRB-
72,5,Worldly,JJ
73,5,possessions,NNS
74,5,bring,VBP
75,5,about,RP
76,5,sorrow,NN
77,5,.,.
78,6,In,IN
79,6,protecting,VBG
80,6,them,PRP
81,6,thou,PRP
82,6,canst,MD
83,6,not,RB
84,6,have,VB
85,6,any,DT
86,6,happiness,NN
87,6,.,.
88,7,They,PRP
89,7,are,VBP
90,7,again,RB
91,7,earned,VBN
92,7,with,IN
93,7,misery,NN
94,7,.,.
95,8,One,PRP
96,8,should,MD
97,8,not,RB
98,8,therefore,RB
99,8,",",","
100,8,regard,VB
101,8,their,PRP$
102,8,loss,NN
103,8,.,.
104,9,[,-LRB-
105,9,692,CD
106,9,],-RRB-
107,9,Pure,NNP
108,9,Knowledge,NNP
109,9,(,","
110,9,or,CC
111,9,Brahma,NNP
112,9,),-RRB-
113,9,is,VBZ
114,9,regarded,VBN
115,9,(,","
116,9,by,IN
117,9,ignorance,NN
118,9,),","
119,9,as,IN
120,9,existing,VBG
121,9,in,IN
122,9,the,DT
123,9,diverse,JJ
124,9,forms,NNS
125,9,that,WDT
126,9,are,VBP
127,9,objects,NNS
128,9,of,IN
129,9,Knowledge,NN
130,9,.,.
131,10,Know,VB
132,10,that,DT
133,10,mind,NN
134,10,is,VBZ
135,10,only,RB
136,10,an,DT
137,10,attribute,NN
138,10,of,IN
139,10,Knowledge,NN
140,10,.,.
141,11,When,WRB
142,11,the,DT
143,11,mind,NN
144,11,becomes,VBZ
145,11,united,JJ
146,11,with,IN
147,11,the,DT
148,11,faculties,NNS
149,11,of,IN
150,11,knowledge,NN
151,11,",",","
152,11,then,RB
153,11,the,DT
154,11,Understanding,NN
155,11,(,:
156,11,which,WDT
157,11,bodies,VBZ
158,11,forth,RB
159,11,the,DT
160,11,forms,NNS
161,11,of,IN
162,11,things,NNS
163,11,),-RRB-
164,11,sets,VBZ
165,11,in,RP
166,11,.,.
167,12,[,-LRB-
168,12,693,CD
169,12,],-RRB-
170,12,When,WRB
171,12,the,DT
172,12,Understanding,NN
173,12,",",","
174,12,freed,VBN
175,12,from,IN
176,12,the,DT
177,12,attributes,NNS
178,12,of,IN
179,12,action,NN
180,12,",",","
181,12,becomes,VBZ
182,12,directed,VBN
183,12,towards,IN
184,12,the,DT
185,12,mind,NN
186,12,(,","
187,12,after,IN
188,12,being,VBG
189,12,withdrawn,VBN
190,12,from,IN
191,12,outward,JJ
192,12,objects,NNS
193,12,),-RRB-
194,12,",",","
195,12,then,RB
196,12,does,VBZ
197,12,it,PRP
198,12,succeed,VB
199,12,in,IN
200,12,knowing,VBG
201,12,Brahma,NNP
202,12,by,IN
203,12,meditation,NN
204,12,or,CC
205,12,Yoga,NNP
206,12,ending,VBG
207,12,in,IN
208,12,complete,JJ
209,12,absorption,NN
210,12,(,","
211,12,samadhi,NN
212,12,),-RRB-
213,12,.,.
214,13,The,DT
215,13,Understanding,NN
216,13,flowing,VBG
217,13,from,IN
218,13,Ignorance,NNP
219,13,",",","
220,13,and,CC
221,13,possessed,VBN
222,13,of,IN
223,13,the,DT
224,13,senses,NNS
225,13,and,CC
226,13,attributes,NNS
227,13,",",","
228,13,runs,VBZ
229,13,towards,IN
230,13,external,JJ
231,13,objects,NNS
232,13,",",","
233,13,like,IN
234,13,a,DT
235,13,river,NN
236,13,issuing,VBG
237,13,from,IN
238,13,a,DT
239,13,mountain,NN
240,13,summit,NN
241,13,and,CC
242,13,flowing,VBG
243,13,towards,IN
244,13,other,JJ
245,13,regions,NNS
246,13,.,.
247,14,When,WRB
248,14,the,DT
249,14,Understanding,NNP
250,14,",",","
251,14,withdrawn,VBN
252,14,into,IN
253,14,the,DT
254,14,mind,NN
255,14,",",","
256,14,succeeds,VBZ
257,14,in,IN
258,14,absorbing,VBG
259,14,itself,PRP
260,14,into,IN
261,14,contemplation,NN
262,14,that,WDT
263,14,is,VBZ
264,14,free,JJ
265,14,from,IN
266,14,attributes,NNS
267,14,",",","
268,14,it,PRP
269,14,attains,VBZ
270,14,to,IN
271,14,a,DT
272,14,knowledge,NN
273,14,of,IN
274,14,Brahma,NNP
275,14,like,IN
276,14,the,DT
277,14,touch,NN
278,14,of,IN
279,14,gold,NN
280,14,on,IN
281,14,a,DT
282,14,touchstone,NN
283,14,.,.
284,15,The,DT
285,15,mind,NN
286,15,is,VBZ
287,15,the,DT
288,15,apprehender,NN
289,15,of,IN
290,15,the,DT
291,15,objects,NNS
292,15,of,IN
293,15,the,DT
294,15,senses,NNS
295,15,.,.
296,16,It,PRP
297,16,must,MD
298,16,first,RB
299,16,be,VB
300,16,extinguished,VBN
301,16,(,:
302,16,before,IN
303,16,Brahma,NNP
304,16,can,MD
