,sentence_no,word,POS_Tags
0,1,O,UH
1,1,descendant,NN
2,1,of,IN
3,1,Kuru,NNP
4,1,",",","
5,1,as,IN
6,1,they,PRP
7,1,were,VBD
8,1,performed,VBN
9,1,by,IN
10,1,a,DT
11,1,Kshatriya,NNP
12,1,",",","
13,1,my,PRP$
14,1,curiosity,NN
15,1,has,VBZ
16,1,been,VBN
17,1,roused,VBN
18,1,in,IN
19,1,this,DT
20,1,matter,NN
21,1,.,.
22,2,Therefore,RB
23,2,",",","
24,2,O,UH
25,2,foremost,JJ
26,2,one,CD
27,2,of,IN
28,2,Bharata,NNP
29,2,',POS
30,2,s,POS
31,2,race,NN
32,2,",",","
33,2,do,VBP
34,2,thou,PRP
35,2,relate,VB
36,2,this,DT
37,2,matter,NN
38,2,to,IN
39,2,me,PRP
40,2,truly,RB
41,2,.,.
42,3,How,WRB
43,3,without,IN
44,3,casting,VBG
45,3,off,RP
46,3,his,PRP$
47,3,corporeal,JJ
48,3,frame,NN
49,3,and,CC
50,3,taking,VBG
51,3,another,DT
52,3,tenement,NN
53,3,of,IN
54,3,flesh,NN
55,3,could,MD
56,3,he,PRP
57,3,become,VB
58,3,a,DT
59,3,Brahmana,NNP
60,3,?,.
61,4,Do,VB
62,4,thou,PRP
63,4,",",","
64,4,O,UH
65,4,sire,NN
66,4,",",","
67,4,truly,RB
68,4,relate,VB
69,4,this,DT
70,4,matter,NN
71,4,to,IN
72,4,me,PRP
73,4,as,IN
74,4,thou,DT
75,4,hast,NN
76,4,related,VBD
77,4,to,IN
78,4,me,PRP
79,4,the,DT
80,4,story,NN
81,4,of,IN
82,4,Matanga,NNP
83,4,.,.
84,5,Matanga,NNP
85,5,was,VBD
86,5,born,VBN
87,5,as,IN
88,5,a,DT
89,5,Chandala,NNP
90,5,",",","
91,5,[,-LRB-
92,5,7,CD
93,5,],-RRB-
94,5,and,CC
95,5,could,MD
96,5,not,RB
97,5,attain,VB
98,5,to,IN
99,5,Brahmanahood,NNP
100,5,",",","
101,5,(,:
102,5,with,IN
103,5,all,DT
104,5,his,PRP$
105,5,austerities,NNS
106,5,),","
107,5,but,CC
108,5,how,WRB
109,5,could,MD
110,5,this,DT
111,5,man,NN
112,5,attain,VB
113,5,to,IN
114,5,the,DT
115,5,status,NN
116,5,of,IN
117,5,a,DT
118,5,Brahmana,NNP
119,5,?,.
120,5,'',''
121,5,',''
122,5,'',''
123,6,SECTION,NN
124,6,IV,NN
125,6,'',''
126,6,',''
127,6,Bhishma,NNP
128,6,said,VBD
129,6,",",","
130,6,``,``
131,6,Listen,VB
132,6,truly,RB
133,6,in,IN
134,6,detail,NN
135,6,",",","
136,6,O,UH
137,6,son,NN
138,6,of,IN
139,6,Pritha,NNP
140,6,",",","
141,6,how,WRB
142,6,in,IN
143,6,olden,JJ
144,6,times,NNS
145,6,Viswamitra,NNP
146,6,attained,VBD
147,6,to,IN
148,6,the,DT
149,6,status,NN
150,6,of,IN
151,6,a,DT
152,6,Brahmana,NNP
153,6,Rishi,NNP
154,6,.,.
155,7,There,EX
156,7,was,VBD
157,7,",",","
158,7,O,UH
159,7,foremost,JJ
160,7,of,IN
161,7,Bharata,NNP
162,7,',POS
163,7,s,POS
164,7,descendants,NNS
165,7,",",","
166,7,in,IN
167,7,the,DT
168,7,race,NN
169,7,of,IN
170,7,Bharata,NNP
171,7,",",","
172,7,a,DT
173,7,king,NN
174,7,of,IN
175,7,the,DT
176,7,name,NN
177,7,of,IN
178,7,Ajamida,NNP
179,7,",",","
180,7,who,WP
181,7,performed,VBD
182,7,many,JJ
183,7,sacrifices,NNS
184,7,and,CC
185,7,was,VBD
186,7,the,DT
187,7,best,JJS
188,7,of,IN
189,7,all,DT
190,7,virtuous,JJ
191,7,men,NNS
192,7,.,.
193,8,His,PRP$
194,8,son,NN
195,8,was,VBD
196,8,the,DT
197,8,great,JJ
198,8,king,NN
199,8,named,VBN
200,8,Jahnu,NNP
201,8,.,.
202,9,Ganga,NNP
203,9,was,VBD
204,9,the,DT
205,9,daughter,NN
206,9,of,IN
207,9,this,DT
208,9,high-minded,JJ
209,9,prince,NN
210,9,.,.
211,10,The,DT
212,10,farfamed,JJ
213,10,and,CC
214,10,equally,RB
215,10,virtuous,JJ
216,10,Sindhudwipa,NNP
217,10,was,VBD
218,10,the,DT
219,10,son,NN
220,10,of,IN
221,10,this,DT
222,10,prince,NN
223,10,.,.
224,11,From,IN
225,11,Sindhudwipa,NNP
226,11,sprung,VBD
227,11,the,DT
228,11,great,JJ
229,11,royal,JJ
230,11,sage,NN
231,11,Valakaswa,NNP
232,11,.,.
233,12,His,PRP$
234,12,son,NN
235,12,was,VBD
236,12,named,VBN
237,12,Vallabha,NNP
238,12,who,WP
239,12,was,VBD
240,12,like,IN
241,12,a,DT
242,12,second,JJ
243,12,Dharma,NNP
244,12,in,IN
245,12,embodied,VBN
246,12,form,NN
247,12,.,.
248,13,His,PRP$
249,13,son,NN
250,13,again,RB
251,13,was,VBD
252,13,Kusika,NNP
253,13,who,WP
254,13,was,VBD
255,13,refulgent,JJ
256,13,with,IN
257,13,glory,NN
258,13,like,UH
259,13,unto,IN
260,13,the,DT
261,13,thousand-eyed,JJ
262,13,Indra,NNP
263,13,.,.
264,14,Kusika,NNP
265,14,',POS
266,14,s,POS
267,14,son,NN
268,14,was,VBD
269,14,the,DT
270,14,illustrious,JJ
271,14,King,NNP
272,14,Gadhi,NNP
273,14,who,WP
274,14,",",","
275,14,being,VBG
276,14,childless,JJ
277,14,and,CC
278,14,desiring,VBG
279,14,to,TO
280,14,have,VB
281,14,a,DT
282,14,son,NN
283,14,born,VBN
284,14,unto,IN
285,14,him,PRP
286,14,",",","
287,14,repaired,VBN
288,14,to,IN
289,14,the,DT
290,14,forest,NN
291,14,.,.
292,15,Whilst,IN
293,15,living,VBG
294,15,there,RB
295,15,",",","
296,15,a,DT
297,15,daughter,NN
298,15,was,VBD
299,15,born,VBN
300,15,unto,IN
301,15,him,PRP
302,15,.,.
303,16,She,PRP
304,16,was,VBD
305,16,called,VBN
306,16,Satyavati,NNP
307,16,by,IN
308,16,name,NN
309,16,",",","
310,16,and,CC
311,16,in,IN
312,16,beauty,NN
313,16,of,IN
314,16,appearance,NN
315,16,she,PRP
316,16,had,VBD
317,16,no,DT
318,16,equal,JJ
319,16,on,IN
320,16,Earth,NNP
321,16,.,.
322,17,The,DT
323,17,illustrious,JJ
324,17,son,NN
325,17,of,IN
326,17,Chyavana,NNP
327,17,",",","
328,17,celebrated,VBN
329,17,by,IN
330,17,the,DT
331,17,name,NN
332,17,of,IN
333,17,Richika,NNP
334,17,",",","
335,17,of,IN
336,17,the,DT
337,17,race,NN
338,17,of,IN
339,17,Bhrigu,NNP
340,17,",",","
341,17,endued,VBN
342,17,with,IN
343,17,austere,JJ
344,17,penances,NNS
345,17,",",","
346,17,sought,VBD
347,17,the,DT
348,17,hand,NN
349,17,of,IN
350,17,this,DT
351,17,lady,NN
352,17,.,.
353,18,Gadhi,NNP
354,18,",",","
355,18,the,DT
356,18,destroyer,NN
357,18,of,IN
358,18,his,PRP$
359,18,enemies,NNS
360,18,",",","
361,18,thinking,VBG
362,18,him,PRP
363,18,to,TO
364,18,be,VB
365,18,poor,JJ
366,18,",",","
367,18,did,VBD
368,18,not,RB
369,18,bestow,VB
370,18,her,PRP
371,18,in,IN
372,18,marriage,NN
373,18,upon,IN
374,18,the,DT
