,sentence_no,word,POS_Tags
0,1,He,PRP
1,1,belonged,VBD
2,1,by,IN
3,1,birth,NN
4,1,to,IN
5,1,a,DT
6,1,race,NN
7,1,of,IN
8,1,regenerate,NN
9,1,Rishis,NNP
10,1,.,.
11,2,How,WRB
12,2,did,VBD
13,2,he,PRP
14,2,become,VB
15,2,a,DT
16,2,follower,NN
17,2,of,IN
18,2,Kshatriya,NNP
19,2,practices,NNS
20,2,?,.
21,3,Do,VB
22,3,thou,PRP
23,3,",",","
24,3,then,RB
25,3,",",","
26,3,O,UH
27,3,king,NN
28,3,",",","
29,3,recite,VB
30,3,to,IN
31,3,me,PRP
32,3,in,IN
33,3,detail,NN
34,3,the,DT
35,3,circumstances,NNS
36,3,of,IN
37,3,Rama,NNP
38,3,'s,POS
39,3,birth,NN
40,3,.,.
41,4,How,WRB
42,4,also,RB
43,4,did,VBD
44,4,a,DT
45,4,son,NN
46,4,of,IN
47,4,the,DT
48,4,race,NN
49,4,of,IN
50,4,Kusika,NNP
51,4,who,WP
52,4,was,VBD
53,4,Kshatriya,NNP
54,4,become,VB
55,4,a,DT
56,4,Brahmana,NNP
57,4,?,.
58,5,Great,JJ
59,5,",",","
60,5,without,IN
61,5,doubt,NN
62,5,",",","
63,5,was,VBD
64,5,the,DT
65,5,puissance,NN
66,5,of,IN
67,5,the,DT
68,5,high-souled,JJ
69,5,Rama,NNP
70,5,",",","
71,5,O,UH
72,5,chief,NN
73,5,of,IN
74,5,men,NNS
75,5,",",","
76,5,as,IN
77,5,also,RB
78,5,of,IN
79,5,Viswamitra,NNP
80,5,.,.
81,6,Why,WRB
82,6,did,VBD
83,6,the,DT
84,6,grandson,NN
85,6,of,IN
86,6,Richika,NNP
87,6,instead,RB
88,6,of,IN
89,6,his,PRP$
90,6,son,NN
91,6,become,VB
92,6,a,DT
93,6,Kshatriya,NNP
94,6,in,IN
95,6,conduct,NN
96,6,?,.
97,7,Why,WRB
98,7,also,RB
99,7,did,VBD
100,7,the,DT
101,7,grandson,NN
102,7,of,IN
103,7,Kusika,NNP
104,7,and,CC
105,7,not,RB
106,7,his,PRP$
107,7,son,NN
108,7,become,VB
109,7,a,DT
110,7,Brahmana,NNP
111,7,?,.
112,8,Why,WRB
113,8,did,VBD
114,8,such,JJ
115,8,untoward,JJ
116,8,incidents,NNS
117,8,overtake,VB
118,8,the,DT
119,8,grandsons,NNS
120,8,of,IN
121,8,both,DT
122,8,",",","
123,8,instead,RB
124,8,of,IN
125,8,their,PRP$
126,8,sons,NNS
127,8,?,.
128,9,It,PRP
129,9,behoveth,VBP
130,9,thee,PRP
131,9,to,TO
132,9,explain,VB
133,9,the,DT
134,9,truth,NN
135,9,in,IN
136,9,respect,NN
137,9,of,IN
138,9,these,DT
139,9,circumstances,NNS
140,9,.,.
141,9,'',''
142,10,``,``
143,10,',''
144,10,Bhishma,NNP
145,10,said,VBD
146,10,",",","
147,10,``,``
148,10,In,IN
149,10,this,DT
150,10,connection,NN
151,10,is,VBZ
152,10,cited,VBN
153,10,an,DT
154,10,old,JJ
155,10,history,NN
156,10,of,IN
157,10,the,DT
158,10,discourse,NN
159,10,between,IN
