,Unnamed: 0,sentence_no,word,predicted_tag,POS_Tags
0,0,1,And,O,CC
1,1,1,worshipped,O,VBN
2,2,1,by,O,IN
3,3,1,the,O,DT
4,4,1,monarch,O,NN
5,5,1,thus,O,RB
6,6,1,",",O,","
7,7,1,those,O,DT
8,8,1,blessed,O,VBN
9,9,1,ones,O,NNS
10,10,1,",",O,","
11,11,1,addressing,O,VBG
12,12,1,Yudhishthira,B-PER,NNP
13,13,1,",",O,","
14,14,1,said,O,VBD
15,15,1,",",O,","
16,16,1,',O,''
17,17,1,O,O,UH
18,18,1,Yudhishthira,B-PER,NNP
19,19,1,",",O,","
20,20,1,O,O,UH
21,21,1,Bhima,B-PER,NNP
22,22,1,",",O,","
23,23,1,and,O,CC
24,24,1,ye,O,PRP
25,25,1,twins,O,NNS
26,26,1,",",O,","
27,27,1,banish,O,VB
28,28,1,all,O,DT
29,29,1,evil,O,JJ
30,30,1,thoughts,O,NNS
31,31,1,from,O,IN
32,32,1,your,O,PRP$
33,33,1,minds,O,NNS
34,34,1,.,O,.
35,35,2,Purify,O,VB
36,36,2,your,O,PRP$
37,37,2,hearts,O,NNS
38,38,2,and,O,CC
39,39,2,then,O,RB
40,40,2,set,O,VBD
41,41,2,out,O,RP
42,42,2,for,O,IN
43,43,2,the,O,DT
44,44,2,tirthas,O,NNS
45,45,2,.,O,.
46,46,3,The,O,DT
47,47,3,Brahmanas,B-COMMUNITY,NNPS
48,48,3,have,O,VBP
49,49,3,said,O,VBN
50,50,3,that,O,IN
51,51,3,the,O,DT
52,52,3,observance,O,NN
53,53,3,of,O,IN
54,54,3,regulations,O,NNS
55,55,3,in,O,IN
56,56,3,respect,O,NN
57,57,3,of,O,IN
58,58,3,the,O,DT
59,59,3,body,O,NN
60,60,3,are,O,VBP
61,61,3,called,O,VBN
62,62,3,earthly,O,JJ
63,63,3,vows,O,NNS
64,64,3,",",O,","
65,65,3,while,O,IN
66,66,3,efforts,O,NNS
67,67,3,to,O,TO
68,68,3,purify,O,VB
69,69,3,the,O,DT
70,70,3,heart,O,NN
71,71,3,",",O,","
72,72,3,so,O,IN
73,73,3,that,O,IN
74,74,3,it,O,PRP
75,75,3,may,O,MD
76,76,3,be,O,VB
77,77,3,free,O,JJ
78,78,3,from,O,IN
79,79,3,evil,O,JJ
80,80,3,thoughts,O,NNS
81,81,3,",",O,","
82,82,3,are,O,VBP
83,83,3,called,O,VBN
84,84,3,spiritual,O,JJ
85,85,3,vows,O,NNS
86,86,3,.,O,.
87,87,4,O,O,UH
88,88,4,king,O,NN
89,89,4,",",O,","
90,90,4,the,O,DT
91,91,4,mind,O,NN
92,92,4,that,O,WDT
93,93,4,is,O,VBZ
94,94,4,free,O,JJ
95,95,4,from,O,IN
96,96,4,all,O,DT
97,97,4,evil,O,JJ
98,98,4,thoughts,O,NNS
99,99,4,is,O,VBZ
100,100,4,highly,O,RB
101,101,4,pure,O,JJ
102,102,4,.,O,.
103,103,5,Purifying,O,VBG
104,104,5,yourselves,O,NNS
105,105,5,",",O,","
106,106,5,therefore,O,RB
107,107,5,",",O,","
108,108,5,harbouring,O,VBG
109,109,5,only,O,RB
110,110,5,friendly,O,JJ
111,111,5,feelings,O,NNS
112,112,5,for,O,IN
113,113,5,all,O,DT
114,114,5,",",O,","
115,115,5,behold,O,VBP
116,116,5,ye,O,PRP
117,117,5,the,O,DT
118,118,5,tirthas,O,NNS
119,119,5,.,O,.
120,120,6,Observing,O,VBG
121,121,6,earthly,O,JJ
122,122,6,vows,O,NNS
123,123,6,in,O,IN
124,124,6,respect,O,NN
125,125,6,of,O,IN
126,126,6,your,O,PRP$
127,127,6,bodies,O,NNS
128,128,6,and,O,CC
129,129,6,purifying,O,VBG
130,130,6,your,O,PRP$
131,131,6,minds,O,NNS
132,132,6,by,O,IN
133,133,6,spiritual,O,JJ
134,134,6,vows,O,NNS
135,135,6,",",O,","
136,136,6,obtain,O,VB
137,137,6,ye,O,PRP
138,138,6,the,O,DT
139,139,6,fruits,O,NNS
140,140,6,as,O,IN
141,141,6,recited,O,VBN
142,142,6,",",O,","
143,143,6,of,O,IN
144,144,6,pilgrimages,O,NNS
145,145,6,.,O,.
146,146,6,'',O,''
147,147,7,``,O,``
148,148,7,Saying,O,VBG
149,149,7,",",O,","
150,150,7,',O,''
151,151,7,So,O,RB
152,152,7,be,O,VB
153,153,7,it,O,PRP
154,154,7,",",O,","
155,155,7,',O,''
156,156,7,the,O,DT
157,157,7,Pandavas,B-COMMUNITY,NNP
158,158,7,with,O,IN
159,159,7,Krishna,B-PER,NNP
160,160,7,",",O,","
161,161,7,caused,O,VBD
162,162,7,those,O,DT
163,163,7,celestial,O,JJ
164,164,7,and,O,CC
165,165,7,human,O,JJ
166,166,7,Rishis,B-COMMUNITY,NNS
167,167,7,to,O,TO
168,168,7,perform,O,VB
169,169,7,the,O,DT
170,170,7,usual,O,JJ
171,171,7,propitiatory,O,JJ
172,172,7,ceremonies,O,NNS
173,173,7,.,O,.
174,174,8,And,O,CC
175,175,8,those,O,DT
176,176,8,heroes,O,NNS
177,177,8,",",O,","
178,178,8,having,O,VBG
179,179,8,worshipped,O,VBN
180,180,8,the,O,DT
181,181,8,feet,O,NNS
182,182,8,of,O,IN
183,183,8,Lomasa,B-PER,NNP
184,184,8,and,O,CC
185,185,8,Dwaipayana,B-PER,NNP
186,186,8,and,O,CC
187,187,8,Narada,B-PER,NNP
188,188,8,and,O,CC
189,189,8,the,O,DT
190,190,8,celestial,O,JJ
191,191,8,Rishi,B-PER,NNP
192,192,8,Parvata,I-PER,NNP
193,193,8,",",O,","
194,194,8,O,O,UH
195,195,8,king,O,NN
196,196,8,",",O,","
197,197,8,and,O,CC
198,198,8,accompanied,O,VBN
199,199,8,by,O,IN
200,200,8,Dhaumya,B-PER,NNP
201,201,8,as,O,IN
202,202,8,also,O,RB
203,203,8,the,O,DT
204,204,8,ascetics,O,NNS
205,205,8,that,O,WDT
206,206,8,had,O,VBD
207,207,8,been,O,VBN
208,208,8,residing,O,VBG
209,209,8,with,O,IN
210,210,8,them,O,PRP
211,211,8,in,O,IN
212,212,8,the,O,DT
213,213,8,woods,O,NNS
214,214,8,",",O,","
215,215,8,set,O,VBD
216,216,8,out,O,RP
217,217,8,on,O,IN
218,218,8,the,O,DT
219,219,8,day,O,NN
220,220,8,following,O,VBG
221,221,8,the,O,DT
222,222,8,full,O,JJ
223,223,8,moon,O,NN
224,224,8,of,O,IN
225,225,8,Agrahayana,B-PER,NNP
226,226,8,in,O,IN
227,227,8,which,O,WDT
228,228,8,the,O,DT
229,229,8,constellation,O,NN
230,230,8,Pushya,O,NNP
231,231,8,was,O,VBD
232,232,8,ascendant,O,JJ
233,233,8,.,O,.
234,234,9,Dressed,O,VBN
235,235,9,in,O,IN
236,236,9,barks,O,NNS
237,237,9,and,O,CC
238,238,9,hides,O,NNS
239,239,9,",",O,","
240,240,9,and,O,CC
241,241,9,with,O,IN
242,242,9,matted,O,JJ
243,243,9,lock,O,NN
244,244,9,on,O,IN
245,245,9,head,O,NN
246,246,9,",",O,","
247,247,9,they,O,PRP
248,248,9,were,O,VBD
249,249,9,all,O,DT
250,250,9,cased,O,VBN
251,251,9,in,O,IN
252,252,9,impenetrable,O,JJ
253,253,9,mail,O,NN
254,254,9,and,O,CC
255,255,9,armed,O,JJ
256,256,9,with,O,IN
257,257,9,swords,O,NNS
258,258,9,.,O,.
259,259,10,And,O,CC
260,260,10,O,O,NNP
261,261,10,Janamejaya,B-PER,NNP
262,262,10,",",O,","
263,263,10,the,O,DT
264,264,10,heroic,O,JJ
265,265,10,sons,O,NNS
266,266,10,of,O,IN
267,267,10,Pandu,B-PER,NNP
268,268,10,with,O,IN
269,269,10,quivers,O,NNS
270,270,10,and,O,CC
271,271,10,arrows,O,NNS
272,272,10,and,O,CC
273,273,10,scimitars,O,NNS
274,274,10,and,O,CC
275,275,10,other,O,JJ
276,276,10,weapons,O,NNS
277,277,10,",",O,","
278,278,10,and,O,CC
279,279,10,accompanied,O,VBN
280,280,10,by,O,IN
281,281,10,Indrasena,B-PER,NNP
282,282,10,and,O,CC
283,283,10,other,O,JJ
284,284,10,attendants,O,NNS
285,285,10,with,O,IN
286,286,10,fourteen,O,CD
287,287,10,and,O,CC
288,288,10,one,O,CD
289,289,10,cars,O,NNS
290,290,10,",",O,","
291,291,10,a,O,DT
292,292,10,number,O,NN
293,293,10,of,O,IN
294,294,10,cooks,O,NNS
295,295,10,and,O,CC
296,296,10,servants,O,NNS
297,297,10,of,O,IN
298,298,10,other,O,JJ
299,299,10,classes,O,NNS
300,300,10,",",O,","
301,301,10,set,O,VBD
302,302,10,out,O,RP
303,303,10,with,O,IN
304,304,10,faces,O,NNS
305,305,10,turned,O,VBN
306,306,10,towards,O,IN
307,307,10,the,O,DT
308,308,10,east,O,JJ
309,309,10,!,O,.
310,310,10,'',O,''
311,311,11,SECTION,O,NN
312,312,11,XCIV,O,NNP
313,313,11,'',O,''
314,314,11,Yudhishthira,B-PER,NNP
315,315,11,said,O,VBD
316,316,11,",",O,","
317,317,11,',O,''
318,318,11,O,O,UH
319,319,11,best,O,JJS
320,320,11,of,O,IN
